source_file,total_time,qubit_caps,env_type,runs,allocator,scenario,scenario_cat,base_frames,frame_step,cap_type,scale,capacity,experiment,winner,frames,model,reward,regret,avg_reward,model_avg_eff,eff_pct,gap_pct,retries,failures,misses_thrs,scenario_winner,scen_winner_eff,scen_winner_reward,scen_winner_gap
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1T.pkl,2.664316177368164,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,STOCHASTIC,Stochastic (Natural Random Failures),1000,1000,T,1.0,1000.0,1,EXPNeuralUCB,1000,ORACLE,805.7921040492772,0.0,0.8057921040492773,0.0,,,0,0,0,EXPNeuralUCB,85.27407134068581,687.1317336645939,14.725928659314192
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1T.pkl,2.664316177368164,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,STOCHASTIC,Stochastic (Natural Random Failures),1000,1000,T,1.0,1000.0,1,EXPNeuralUCB,1000,GNEURALUCB,648.7931602937747,131.3386823071807,0.6487931602937747,80.51619729623195,80.51619729623195,19.48380270376805,0,0,0,EXPNeuralUCB,85.27407134068581,687.1317336645939,14.725928659314192
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1T.pkl,2.664316177368164,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,STOCHASTIC,Stochastic (Natural Random Failures),1000,1000,T,1.0,1000.0,1,EXPNeuralUCB,1000,EXPNEURALUCB,687.1317336645939,112.00248904002915,0.6871317336645939,85.27407134068581,85.27407134068581,14.725928659314192,0,0,0,EXPNeuralUCB,85.27407134068581,687.1317336645939,14.725928659314192
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1T.pkl,2.664316177368164,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,STOCHASTIC,Stochastic (Natural Random Failures),1000,1000,T,1.0,1000.0,1,EXPNeuralUCB,1000,CPURSUITNEURALUCB,613.5475496853907,183.69302557107403,0.6135475496853907,76.14216453625983,76.14216453625983,23.857835463740173,0,0,0,EXPNeuralUCB,85.27407134068581,687.1317336645939,14.725928659314192
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1T.pkl,2.664316177368164,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,STOCHASTIC,Stochastic (Natural Random Failures),1000,1000,T,1.0,1000.0,1,EXPNeuralUCB,1000,ICPURSUITNEURALUCB,613.025773498182,173.13542059098012,0.6130257734981821,76.07741133446167,76.07741133446167,23.922588665538328,0,0,0,EXPNeuralUCB,85.27407134068581,687.1317336645939,14.725928659314192
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1T.pkl,2.664316177368164,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,MARKOV,Structured (Markov Chain Based),1000,1000,T,1.0,1000.0,1,iCPursuitNeuralUCB,1000,ORACLE,774.0505712093706,0.0,0.7740505712093706,0.0,,,0,0,0,iCPursuitNeuralUCB,44.135552186659226,341.6314938072456,55.864447813340774
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1T.pkl,2.664316177368164,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,MARKOV,Structured (Markov Chain Based),1000,1000,T,1.0,1000.0,1,iCPursuitNeuralUCB,1000,GNEURALUCB,282.15284913848365,163.8168396442741,0.28215284913848365,36.451474830339606,36.451474830339606,63.548525169660394,0,0,3,iCPursuitNeuralUCB,44.135552186659226,341.6314938072456,55.864447813340774
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1T.pkl,2.664316177368164,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,MARKOV,Structured (Markov Chain Based),1000,1000,T,1.0,1000.0,1,iCPursuitNeuralUCB,1000,EXPNEURALUCB,184.67977098656772,231.22411020751736,0.1846797709865677,23.85887664910905,23.85887664910905,76.14112335089095,0,0,3,iCPursuitNeuralUCB,44.135552186659226,341.6314938072456,55.864447813340774
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1T.pkl,2.664316177368164,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,MARKOV,Structured (Markov Chain Based),1000,1000,T,1.0,1000.0,1,iCPursuitNeuralUCB,1000,CPURSUITNEURALUCB,313.24313743076965,175.62033351914275,0.31324313743076965,40.46804551043235,40.46804551043235,59.53195448956765,0,0,3,iCPursuitNeuralUCB,44.135552186659226,341.6314938072456,55.864447813340774
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1T.pkl,2.664316177368164,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,MARKOV,Structured (Markov Chain Based),1000,1000,T,1.0,1000.0,1,iCPursuitNeuralUCB,1000,ICPURSUITNEURALUCB,341.6314938072456,172.3799819164972,0.3416314938072456,44.135552186659226,44.135552186659226,55.864447813340774,0,0,3,iCPursuitNeuralUCB,44.135552186659226,341.6314938072456,55.864447813340774
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1T.pkl,2.664316177368164,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,ADAPTIVE,Adaptive (Reactive Strategic),1000,1000,T,1.0,1000.0,1,EXPNeuralUCB,1000,ORACLE,796.7446944070824,0.0,0.7967446944070824,0.0,,,0,0,0,EXPNeuralUCB,67.96032653095554,541.470295937117,32.03967346904446
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1T.pkl,2.664316177368164,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,ADAPTIVE,Adaptive (Reactive Strategic),1000,1000,T,1.0,1000.0,1,EXPNeuralUCB,1000,GNEURALUCB,453.9655774031372,271.81702693513546,0.4539655774031372,56.977546331948545,56.977546331948545,43.022453668051455,0,0,3,EXPNeuralUCB,67.96032653095554,541.470295937117,32.03967346904446
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1T.pkl,2.664316177368164,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,ADAPTIVE,Adaptive (Reactive Strategic),1000,1000,T,1.0,1000.0,1,EXPNeuralUCB,1000,EXPNEURALUCB,541.470295937117,102.62774271795514,0.541470295937117,67.96032653095554,67.96032653095554,32.03967346904446,0,0,0,EXPNeuralUCB,67.96032653095554,541.470295937117,32.03967346904446
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1T.pkl,2.664316177368164,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,ADAPTIVE,Adaptive (Reactive Strategic),1000,1000,T,1.0,1000.0,1,EXPNeuralUCB,1000,CPURSUITNEURALUCB,434.77257064789677,282.5179473423989,0.43477257064789676,54.568618241184986,54.568618241184986,45.431381758815014,0,0,3,EXPNeuralUCB,67.96032653095554,541.470295937117,32.03967346904446
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1T.pkl,2.664316177368164,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,ADAPTIVE,Adaptive (Reactive Strategic),1000,1000,T,1.0,1000.0,1,EXPNeuralUCB,1000,ICPURSUITNEURALUCB,434.06426569427725,277.61932523164205,0.43406426569427725,54.47971837669996,54.47971837669996,45.52028162330004,0,0,3,EXPNeuralUCB,67.96032653095554,541.470295937117,32.03967346904446
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1T.pkl,2.664316177368164,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,ONLINEADAPTIVE,Online Adaptive (Real-time Strategic),1000,1000,T,1.0,1000.0,1,CPursuitNeuralUCB,1000,ORACLE,797.6946051749912,0.0,0.7976946051749912,0.0,,,0,0,0,CPursuitNeuralUCB,60.718794824840785,484.35055064502666,39.281205175159215
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1T.pkl,2.664316177368164,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,ONLINEADAPTIVE,Online Adaptive (Real-time Strategic),1000,1000,T,1.0,1000.0,1,CPursuitNeuralUCB,1000,GNEURALUCB,469.74235342755657,254.87906964929766,0.46974235342755655,58.887492829979536,58.887492829979536,41.112507170020464,0,0,0,CPursuitNeuralUCB,60.718794824840785,484.35055064502666,39.281205175159215
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1T.pkl,2.664316177368164,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,ONLINEADAPTIVE,Online Adaptive (Real-time Strategic),1000,1000,T,1.0,1000.0,1,CPursuitNeuralUCB,1000,EXPNEURALUCB,258.52959831514426,415.7263525046203,0.25852959831514427,32.40959593282323,32.40959593282323,67.59040406717676,0,0,3,CPursuitNeuralUCB,60.718794824840785,484.35055064502666,39.281205175159215
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1T.pkl,2.664316177368164,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,ONLINEADAPTIVE,Online Adaptive (Real-time Strategic),1000,1000,T,1.0,1000.0,1,CPursuitNeuralUCB,1000,CPURSUITNEURALUCB,484.35055064502666,179.13437981294484,0.48435055064502663,60.718794824840785,60.718794824840785,39.281205175159215,0,0,3,CPursuitNeuralUCB,60.718794824840785,484.35055064502666,39.281205175159215
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1T.pkl,2.664316177368164,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,ONLINEADAPTIVE,Online Adaptive (Real-time Strategic),1000,1000,T,1.0,1000.0,1,CPursuitNeuralUCB,1000,ICPURSUITNEURALUCB,447.9432970090488,273.58898885122784,0.44794329700904884,56.15473567240472,56.15473567240472,43.84526432759528,0,0,3,CPursuitNeuralUCB,60.718794824840785,484.35055064502666,39.281205175159215
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1T.pkl,2.664316177368164,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,NONE,Baseline (No Attacks),1000,1000,T,1.0,1000.0,1,CPursuitNeuralUCB,1000,ORACLE,808.2453356992096,0.0,0.8082453356992096,0.0,,,0,0,0,CPursuitNeuralUCB,85.5499554480378,691.4535246015174,14.450044551962193
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1T.pkl,2.664316177368164,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,NONE,Baseline (No Attacks),1000,1000,T,1.0,1000.0,1,CPursuitNeuralUCB,1000,GNEURALUCB,678.6991306155527,129.54620508363897,0.6786991306155526,83.97192048481331,83.97192048481331,16.02807951518669,0,0,0,CPursuitNeuralUCB,85.5499554480378,691.4535246015174,14.450044551962193
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1T.pkl,2.664316177368164,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,NONE,Baseline (No Attacks),1000,1000,T,1.0,1000.0,1,CPursuitNeuralUCB,1000,EXPNEURALUCB,617.3258952200888,190.91944047911085,0.6173258952200888,76.37852864143568,76.37852864143568,23.62147135856432,0,0,0,CPursuitNeuralUCB,85.5499554480378,691.4535246015174,14.450044551962193
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1T.pkl,2.664316177368164,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,NONE,Baseline (No Attacks),1000,1000,T,1.0,1000.0,1,CPursuitNeuralUCB,1000,CPURSUITNEURALUCB,691.4535246015174,116.79181109767416,0.6914535246015174,85.5499554480378,85.5499554480378,14.450044551962193,0,0,0,CPursuitNeuralUCB,85.5499554480378,691.4535246015174,14.450044551962193
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1T.pkl,2.664316177368164,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,NONE,Baseline (No Attacks),1000,1000,T,1.0,1000.0,1,CPursuitNeuralUCB,1000,ICPURSUITNEURALUCB,663.0898193722602,145.15551632693234,0.6630898193722602,82.04066142845402,82.04066142845402,17.959338571545985,0,0,0,CPursuitNeuralUCB,85.5499554480378,691.4535246015174,14.450044551962193
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1Tb.pkl,0.009590864181518555,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,STOCHASTIC,Stochastic (Natural Random Failures),1000,1000,Tb,1.0,1000.0,1,EXPNeuralUCB,1000,ORACLE,805.7921040492772,0.0,0.8057921040492773,0.0,,,0,0,0,EXPNeuralUCB,85.27407134068581,687.1317336645939,14.725928659314192
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1Tb.pkl,0.009590864181518555,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,STOCHASTIC,Stochastic (Natural Random Failures),1000,1000,Tb,1.0,1000.0,1,EXPNeuralUCB,1000,GNEURALUCB,648.7931602937747,131.3386823071807,0.6487931602937747,80.51619729623195,80.51619729623195,19.48380270376805,0,0,0,EXPNeuralUCB,85.27407134068581,687.1317336645939,14.725928659314192
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1Tb.pkl,0.009590864181518555,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,STOCHASTIC,Stochastic (Natural Random Failures),1000,1000,Tb,1.0,1000.0,1,EXPNeuralUCB,1000,EXPNEURALUCB,687.1317336645939,112.00248904002915,0.6871317336645939,85.27407134068581,85.27407134068581,14.725928659314192,0,0,0,EXPNeuralUCB,85.27407134068581,687.1317336645939,14.725928659314192
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1Tb.pkl,0.009590864181518555,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,STOCHASTIC,Stochastic (Natural Random Failures),1000,1000,Tb,1.0,1000.0,1,EXPNeuralUCB,1000,CPURSUITNEURALUCB,613.5475496853907,183.69302557107403,0.6135475496853907,76.14216453625983,76.14216453625983,23.857835463740173,0,0,0,EXPNeuralUCB,85.27407134068581,687.1317336645939,14.725928659314192
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1Tb.pkl,0.009590864181518555,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,STOCHASTIC,Stochastic (Natural Random Failures),1000,1000,Tb,1.0,1000.0,1,EXPNeuralUCB,1000,ICPURSUITNEURALUCB,613.025773498182,173.13542059098012,0.6130257734981821,76.07741133446167,76.07741133446167,23.922588665538328,0,0,0,EXPNeuralUCB,85.27407134068581,687.1317336645939,14.725928659314192
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1Tb.pkl,0.009590864181518555,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,NONE,Baseline (No Attacks),1000,1000,Tb,1.0,1000.0,1,CPursuitNeuralUCB,1000,ORACLE,808.2453356992096,0.0,0.8082453356992096,0.0,,,0,0,0,CPursuitNeuralUCB,85.5499554480378,691.4535246015174,14.450044551962193
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1Tb.pkl,0.009590864181518555,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,NONE,Baseline (No Attacks),1000,1000,Tb,1.0,1000.0,1,CPursuitNeuralUCB,1000,GNEURALUCB,678.6991306155527,129.54620508363897,0.6786991306155526,83.97192048481331,83.97192048481331,16.02807951518669,0,0,0,CPursuitNeuralUCB,85.5499554480378,691.4535246015174,14.450044551962193
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1Tb.pkl,0.009590864181518555,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,NONE,Baseline (No Attacks),1000,1000,Tb,1.0,1000.0,1,CPursuitNeuralUCB,1000,EXPNEURALUCB,617.3258952200888,190.91944047911085,0.6173258952200888,76.37852864143568,76.37852864143568,23.62147135856432,0,0,0,CPursuitNeuralUCB,85.5499554480378,691.4535246015174,14.450044551962193
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1Tb.pkl,0.009590864181518555,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,NONE,Baseline (No Attacks),1000,1000,Tb,1.0,1000.0,1,CPursuitNeuralUCB,1000,CPURSUITNEURALUCB,691.4535246015174,116.79181109767416,0.6914535246015174,85.5499554480378,85.5499554480378,14.450044551962193,0,0,0,CPursuitNeuralUCB,85.5499554480378,691.4535246015174,14.450044551962193
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1Tb.pkl,0.009590864181518555,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,NONE,Baseline (No Attacks),1000,1000,Tb,1.0,1000.0,1,CPursuitNeuralUCB,1000,ICPURSUITNEURALUCB,663.0898193722602,145.15551632693234,0.6630898193722602,82.04066142845402,82.04066142845402,17.959338571545985,0,0,0,CPursuitNeuralUCB,85.5499554480378,691.4535246015174,14.450044551962193
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1Tb.pkl,0.009590864181518555,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,MARKOV,Structured (Markov Chain Based),1000,1000,Tb,1.0,1000.0,1,iCPursuitNeuralUCB,1000,ORACLE,774.0505712093706,0.0,0.7740505712093706,0.0,,,0,0,0,iCPursuitNeuralUCB,44.135552186659226,341.6314938072456,55.864447813340774
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1Tb.pkl,0.009590864181518555,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,MARKOV,Structured (Markov Chain Based),1000,1000,Tb,1.0,1000.0,1,iCPursuitNeuralUCB,1000,GNEURALUCB,282.15284913848365,163.8168396442741,0.28215284913848365,36.451474830339606,36.451474830339606,63.548525169660394,0,0,3,iCPursuitNeuralUCB,44.135552186659226,341.6314938072456,55.864447813340774
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1Tb.pkl,0.009590864181518555,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,MARKOV,Structured (Markov Chain Based),1000,1000,Tb,1.0,1000.0,1,iCPursuitNeuralUCB,1000,EXPNEURALUCB,184.67977098656772,231.22411020751736,0.1846797709865677,23.85887664910905,23.85887664910905,76.14112335089095,0,0,3,iCPursuitNeuralUCB,44.135552186659226,341.6314938072456,55.864447813340774
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1Tb.pkl,0.009590864181518555,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,MARKOV,Structured (Markov Chain Based),1000,1000,Tb,1.0,1000.0,1,iCPursuitNeuralUCB,1000,CPURSUITNEURALUCB,313.24313743076965,175.62033351914275,0.31324313743076965,40.46804551043235,40.46804551043235,59.53195448956765,0,0,3,iCPursuitNeuralUCB,44.135552186659226,341.6314938072456,55.864447813340774
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1Tb.pkl,0.009590864181518555,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,MARKOV,Structured (Markov Chain Based),1000,1000,Tb,1.0,1000.0,1,iCPursuitNeuralUCB,1000,ICPURSUITNEURALUCB,341.6314938072456,172.3799819164972,0.3416314938072456,44.135552186659226,44.135552186659226,55.864447813340774,0,0,3,iCPursuitNeuralUCB,44.135552186659226,341.6314938072456,55.864447813340774
MultiRunEvaluator_1000-Default_All_All-1000_1000_1_S1Tb.pkl,0.009590864181518555,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,ADAPTIVE,Adaptive (Reactive Strategic),1000,1000,Tb,1.0,1000.0,1,EXPNeuralUCB,1000,ORACLE,796.7446944070824,0.0,0.7967446944070824,0.0,,,0,0,0,EXPNeuralUCB,67.96032653095554,541.470295937117,32.03967346904446
