Experiment,Model,Reward,Efficiency (%),Regime,Capacity,Runs
4,GNEURALUCB,6811.28,97.8,T,S1.5,5-run 
5,GNEURALUCB,8162.18,97.6,T,S1.5,5-run 
1,GNEURALUCB,2496.36,90.4,T,S2,5-run 
2,GNEURALUCB,3833.28,92.5,T,S2,5-run 
3,GNEURALUCB,5109.92,92.5,T,S2,5-run 
4,GNEURALUCB,6283.22,91.0,T,S2,5-run 
5,GNEURALUCB,7639.62,92.2,T,S2,5-run 
1,GNEURALUCB,2475.84,89.8,T,S2,5-run 
2,GNEURALUCB,3715.7,89.9,T,S2,5-run 
3,GNEURALUCB,4451.68,80.8,T,S2,5-run 
4,GNEURALUCB,6143.43,89.2,T,S2,5-run 
5,GNEURALUCB,7447.61,90.1,T,S2,5-run 
1,GNEURALUCB,2515.6,91.2,T,S2,5-run 
2,GNEURALUCB,3796.92,91.7,T,S2,5-run 
3,GNEURALUCB,5061.9,91.6,T,S2,5-run 
4,GNEURALUCB,6318.42,91.6,T,S2,5-run 
5,GNEURALUCB,7663.59,92.4,T,S2,5-run 
1,GNEURALUCB,2287.72,84.8,T,S2,5-run 
2,GNEURALUCB,4027.23,96.3,T,S2,5-run 
3,GNEURALUCB,5356.3,96.3,T,S2,5-run 
4,GNEURALUCB,6724.3,96.5,T,S2,5-run 
5,GNEURALUCB,7610.82,91.9,T,S2,5-run 
1,GNEURALUCB,2685.67,96.4,T,S2,5-run 
2,GNEURALUCB,4008.77,95.9,T,S2,5-run 
3,GNEURALUCB,5454.8,97.9,T,S2,5-run 
4,GNEURALUCB,6748.39,96.9,T,S2,5-run 
5,GNEURALUCB,8204.82,98.1,T,S2,5-run 
1,GNEURALUCB,2540.84,92.0,T,S2,3-run 
2,GNEURALUCB,3593.16,86.7,T,S2,3-run 
3,GNEURALUCB,5104.56,92.4,T,S2,3-run 
1,GNEURALUCB,2494.7,90.5,T,S2,3-run 
2,GNEURALUCB,3731.97,90.2,T,S2,3-run 
3,GNEURALUCB,5019.36,91.0,T,S2,3-run 
1,GNEURALUCB,2514.09,91.1,T,S2,3-run 
2,GNEURALUCB,3782.62,91.5,T,S2,3-run 
3,GNEURALUCB,5107.24,92.6,T,S2,3-run 
1,GNEURALUCB,2665.48,96.0,T,S2,3-run 
2,GNEURALUCB,4074.49,97.5,T,S2,3-run 
3,GNEURALUCB,5298.99,95.6,T,S2,3-run 
1,GNEURALUCB,2685.34,96.4,T,S2,3-run 
2,GNEURALUCB,4063.59,97.2,T,S2,3-run 
3,GNEURALUCB,5405.85,97.0,T,S2,3-run 
1,GNEURALUCB,2506.44,90.7,T,S1.5,3-run 
2,GNEURALUCB,3828.13,92.4,T,S1.5,3-run 
3,GNEURALUCB,5080.35,92.0,T,S1.5,3-run 
1,GNEURALUCB,2291.32,83.1,T,S1.5,3-run 
2,GNEURALUCB,3752.98,90.8,T,S1.5,3-run 
3,GNEURALUCB,5007.12,90.8,T,S1.5,3-run 
1,GNEURALUCB,2538.67,91.9,T,S1.5,3-run 
