Experiment,Model,Reward,Efficiency (%),Regime,Capacity,Runs
1,EXPNEURALUCB,2494.1,90.4,Tb,S1.5,5-run 
2,EXPNEURALUCB,3829.33,92.2,Tb,S1.5,5-run 
3,EXPNEURALUCB,4473.83,81.0,Tb,S1.5,5-run 
4,EXPNEURALUCB,6042.16,87.5,Tb,S1.5,5-run 
5,EXPNEURALUCB,6987.53,84.3,Tb,S1.5,5-run 
1,EXPNEURALUCB,2608.19,93.9,Tb,S1.5,5-run 
2,EXPNEURALUCB,3426.05,83.5,Tb,S1.5,5-run 
3,EXPNEURALUCB,5422.2,97.3,Tb,S1.5,5-run 
4,EXPNEURALUCB,6166.52,90.0,Tb,S1.5,5-run 
5,EXPNEURALUCB,7994.57,95.9,Tb,S1.5,5-run 
1,EXPNEURALUCB,2686.55,96.4,Tb,S1.5,5-run 
2,EXPNEURALUCB,4072.79,97.4,Tb,S1.5,5-run 
3,EXPNEURALUCB,4989.15,89.5,Tb,S1.5,5-run 
4,EXPNEURALUCB,6871.15,98.6,Tb,S1.5,5-run 
5,EXPNEURALUCB,7957.66,95.2,Tb,S1.5,5-run 
1,EXPNEURALUCB,2059.87,74.6,Tb,S2,3-run 
2,EXPNEURALUCB,3545.82,85.7,Tb,S2,3-run 
3,EXPNEURALUCB,5089.1,92.1,Tb,S2,3-run 
1,EXPNEURALUCB,2519.8,91.4,Tb,S2,3-run 
2,EXPNEURALUCB,3800.08,91.9,Tb,S2,3-run 
3,EXPNEURALUCB,4930.2,89.4,Tb,S2,3-run 
1,EXPNEURALUCB,2536.12,91.9,Tb,S2,3-run 
2,EXPNEURALUCB,3935.65,94.7,Tb,S2,3-run 
3,EXPNEURALUCB,4866.47,88.2,Tb,S2,3-run 
1,EXPNEURALUCB,2212.01,82.0,Tb,S2,3-run 
2,EXPNEURALUCB,3889.46,93.0,Tb,S2,3-run 
3,EXPNEURALUCB,4961.61,89.5,Tb,S2,3-run 
1,EXPNEURALUCB,2570.4,92.2,Tb,S2,3-run 
2,EXPNEURALUCB,3999.14,95.7,Tb,S2,3-run 
3,EXPNEURALUCB,5321.97,95.5,Tb,S2,3-run 
1,EXPNEURALUCB,2504.25,90.6,Tb,S2,5-run 
2,EXPNEURALUCB,3207.64,77.4,Tb,S2,5-run 
3,EXPNEURALUCB,4300.06,77.8,Tb,S2,5-run 
4,EXPNEURALUCB,6369.12,92.2,Tb,S2,5-run 
5,EXPNEURALUCB,7569.09,91.4,Tb,S2,5-run 
1,EXPNEURALUCB,2519.8,91.4,Tb,S2,5-run 
2,EXPNEURALUCB,3800.08,91.9,Tb,S2,5-run 
3,EXPNEURALUCB,4930.2,89.4,Tb,S2,5-run 
4,EXPNEURALUCB,6344.42,92.0,Tb,S2,5-run 
5,EXPNEURALUCB,7230.56,87.4,Tb,S2,5-run 
1,EXPNEURALUCB,2536.12,91.9,Tb,S2,5-run 
2,EXPNEURALUCB,3935.65,94.7,Tb,S2,5-run 
3,EXPNEURALUCB,4866.47,88.2,Tb,S2,5-run 
4,EXPNEURALUCB,6335.81,91.9,Tb,S2,5-run 
5,EXPNEURALUCB,7363.43,88.9,Tb,S2,5-run 
1,EXPNEURALUCB,2212.01,82.0,Tb,S2,5-run 
2,EXPNEURALUCB,3889.46,93.0,Tb,S2,5-run 
3,EXPNEURALUCB,4961.61,89.5,Tb,S2,5-run 
4,EXPNEURALUCB,6893.04,98.9,Tb,S2,5-run 
5,EXPNEURALUCB,8161.81,97.8,Tb,S2,5-run 
1,EXPNEURALUCB,2570.4,92.2,Tb,S2,5-run 
2,EXPNEURALUCB,3999.14,95.7,Tb,S2,5-run 
3,EXPNEURALUCB,5321.97,95.5,Tb,S2,5-run 
4,EXPNEURALUCB,6903.88,99.1,Tb,S2,5-run 
5,EXPNEURALUCB,8237.52,98.5,Tb,S2,5-run 
1,CPURSUITNEURALUCB,2594.32,94.0,T,S1,3-run 
2,CPURSUITNEURALUCB,3373.7,81.4,T,S1,3-run 
3,CPURSUITNEURALUCB,5195.14,94.1,T,S1,3-run 
1,CPURSUITNEURALUCB,2548.52,92.5,T,S1,3-run 
2,CPURSUITNEURALUCB,3451.55,83.4,T,S1,3-run 
3,CPURSUITNEURALUCB,5121.59,92.9,T,S1,3-run 
1,CPURSUITNEURALUCB,2584.79,93.6,T,S1,3-run 
2,CPURSUITNEURALUCB,3430.15,82.7,T,S1,3-run 
3,CPURSUITNEURALUCB,5148.31,93.3,T,S1,3-run 
1,CPURSUITNEURALUCB,2399.33,86.7,T,S1,3-run 
2,CPURSUITNEURALUCB,3495.11,84.6,T,S1,3-run 
3,CPURSUITNEURALUCB,5233.4,94.4,T,S1,3-run 
1,CPURSUITNEURALUCB,2781.4,99.8,T,S1,3-run 
2,CPURSUITNEURALUCB,4149.35,99.3,T,S1,3-run 
3,CPURSUITNEURALUCB,5571.93,100.0,T,S1,3-run 
1,CPURSUITNEURALUCB,2475.63,89.6,T,S1,5-run 
2,CPURSUITNEURALUCB,3296.2,79.6,T,S1,5-run 
3,CPURSUITNEURALUCB,4437.84,80.3,T,S1,5-run 
4,CPURSUITNEURALUCB,6272.3,90.9,T,S1,5-run 
5,CPURSUITNEURALUCB,7693.8,92.9,T,S1,5-run 
1,CPURSUITNEURALUCB,2443.32,88.6,T,S1,5-run 
2,CPURSUITNEURALUCB,3374.88,81.7,T,S1,5-run 
3,CPURSUITNEURALUCB,4522.66,82.1,T,S1,5-run 
4,CPURSUITNEURALUCB,6227.62,90.4,T,S1,5-run 
5,CPURSUITNEURALUCB,7455.27,90.2,T,S1,5-run 
1,CPURSUITNEURALUCB,2533.21,91.7,T,S1,5-run 
2,CPURSUITNEURALUCB,3868.29,93.1,T,S1,5-run 
3,CPURSUITNEURALUCB,4353.09,78.8,T,S1,5-run 
4,CPURSUITNEURALUCB,6432.97,93.1,T,S1,5-run 
5,CPURSUITNEURALUCB,7638.54,92.2,T,S1,5-run 
1,CPURSUITNEURALUCB,2436.47,88.8,T,S1,5-run 
2,CPURSUITNEURALUCB,3531.44,86.5,T,S1,5-run 
3,CPURSUITNEURALUCB,3846.06,69.0,T,S1,5-run 
4,CPURSUITNEURALUCB,6515.4,94.4,T,S1,5-run 
5,CPURSUITNEURALUCB,8139.76,97.4,T,S1,5-run 
1,CPURSUITNEURALUCB,2686.84,96.4,T,S1,5-run 
2,CPURSUITNEURALUCB,4074.52,97.5,T,S1,5-run 
3,CPURSUITNEURALUCB,4703.43,84.4,T,S1,5-run 
4,CPURSUITNEURALUCB,6833.72,98.1,T,S1,5-run 
5,CPURSUITNEURALUCB,8220.94,98.3,T,S1,5-run 
1,CPURSUITNEURALUCB,2530.84,91.6,T,S1.5,5-run 
2,CPURSUITNEURALUCB,3838.96,92.6,T,S1.5,5-run 
3,CPURSUITNEURALUCB,5132.6,93.0,T,S1.5,5-run 
4,CPURSUITNEURALUCB,6432.08,93.1,T,S1.5,5-run 
5,CPURSUITNEURALUCB,7748.29,93.4,T,S1.5,5-run 
1,CPURSUITNEURALUCB,2527.55,91.7,T,S1.5,5-run 
2,CPURSUITNEURALUCB,3824.45,92.5,T,S1.5,5-run 
3,CPURSUITNEURALUCB,5137.07,93.1,T,S1.5,5-run 
4,CPURSUITNEURALUCB,6266.75,90.9,T,S1.5,5-run 
5,CPURSUITNEURALUCB,7422.44,89.8,T,S1.5,5-run 
1,CPURSUITNEURALUCB,2593.68,93.9,T,S1.5,5-run 
2,CPURSUITNEURALUCB,3885.46,93.8,T,S1.5,5-run 
3,CPURSUITNEURALUCB,4570.94,82.8,T,S1.5,5-run 
4,CPURSUITNEURALUCB,6444.83,93.2,T,S1.5,5-run 
5,CPURSUITNEURALUCB,7733.69,93.3,T,S1.5,5-run 
1,CPURSUITNEURALUCB,2454.77,89.5,T,S1.5,5-run 
2,CPURSUITNEURALUCB,3825.35,92.5,T,S1.5,5-run 
3,CPURSUITNEURALUCB,5274.09,95.3,T,S1.5,5-run 
4,CPURSUITNEURALUCB,6176.04,90.1,T,S1.5,5-run 
5,CPURSUITNEURALUCB,7223.61,88.5,T,S1.5,5-run 
1,CPURSUITNEURALUCB,2785.12,99.9,T,S1.5,5-run 
2,CPURSUITNEURALUCB,4173.02,99.8,T,S1.5,5-run 
3,CPURSUITNEURALUCB,4820.13,86.5,T,S1.5,5-run 
4,CPURSUITNEURALUCB,6790.84,97.5,T,S1.5,5-run 
5,CPURSUITNEURALUCB,8152.67,97.5,T,S1.5,5-run 
1,CPURSUITNEURALUCB,1969.36,71.3,T,S2,5-run 
2,CPURSUITNEURALUCB,3814.32,92.1,T,S2,5-run 
3,CPURSUITNEURALUCB,1055.37,19.1,T,S2,5-run 
4,CPURSUITNEURALUCB,6336.4,91.8,T,S2,5-run 
5,CPURSUITNEURALUCB,7591.73,91.6,T,S2,5-run 
1,CPURSUITNEURALUCB,2439.38,88.5,T,S2,5-run 
2,CPURSUITNEURALUCB,3756.02,90.9,T,S2,5-run 
3,CPURSUITNEURALUCB,4977.63,90.3,T,S2,5-run 
4,CPURSUITNEURALUCB,6139.49,89.1,T,S2,5-run 
5,CPURSUITNEURALUCB,7435.72,89.9,T,S2,5-run 
1,CPURSUITNEURALUCB,2501.05,90.6,T,S2,5-run 
2,CPURSUITNEURALUCB,3801.92,91.8,T,S2,5-run 
3,CPURSUITNEURALUCB,5154.0,93.3,T,S2,5-run 
4,CPURSUITNEURALUCB,6304.16,91.4,T,S2,5-run 
5,CPURSUITNEURALUCB,7683.99,92.7,T,S2,5-run 
1,CPURSUITNEURALUCB,2279.51,84.5,T,S2,5-run 
2,CPURSUITNEURALUCB,3452.26,82.6,T,S2,5-run 
3,CPURSUITNEURALUCB,5369.1,96.5,T,S2,5-run 
4,CPURSUITNEURALUCB,6771.6,97.2,T,S2,5-run 
5,CPURSUITNEURALUCB,7614.52,91.9,T,S2,5-run 
1,CPURSUITNEURALUCB,2663.68,95.6,T,S2,5-run 
2,CPURSUITNEURALUCB,4049.61,96.9,T,S2,5-run 
3,CPURSUITNEURALUCB,5443.92,97.7,T,S2,5-run 
4,CPURSUITNEURALUCB,6784.51,97.4,T,S2,5-run 
5,CPURSUITNEURALUCB,8192.15,98.0,T,S2,5-run 
1,CPURSUITNEURALUCB,2595.74,93.9,T,S2,3-run 
2,CPURSUITNEURALUCB,3927.62,94.7,T,S2,3-run 
3,CPURSUITNEURALUCB,5195.14,94.1,T,S2,3-run 
1,CPURSUITNEURALUCB,2554.54,92.7,T,S2,3-run 
2,CPURSUITNEURALUCB,3846.58,93.0,T,S2,3-run 
3,CPURSUITNEURALUCB,5121.59,92.9,T,S2,3-run 
1,CPURSUITNEURALUCB,2569.57,93.1,T,S2,3-run 
2,CPURSUITNEURALUCB,3839.41,92.8,T,S2,3-run 
3,CPURSUITNEURALUCB,5148.31,93.3,T,S2,3-run 
1,CPURSUITNEURALUCB,2714.89,97.7,T,S2,3-run 
2,CPURSUITNEURALUCB,3406.36,81.5,T,S2,3-run 
3,CPURSUITNEURALUCB,5233.4,94.4,T,S2,3-run 
1,CPURSUITNEURALUCB,2782.99,99.9,T,S2,3-run 
2,CPURSUITNEURALUCB,4172.82,99.8,T,S2,3-run 
3,CPURSUITNEURALUCB,5571.93,100.0,T,S2,3-run 
1,CPURSUITNEURALUCB,2530.84,91.6,T,S1.5,3-run 
2,CPURSUITNEURALUCB,3838.96,92.6,T,S1.5,3-run 
3,CPURSUITNEURALUCB,5132.6,93.0,T,S1.5,3-run 
1,CPURSUITNEURALUCB,2527.55,91.7,T,S1.5,3-run 
2,CPURSUITNEURALUCB,3824.45,92.5,T,S1.5,3-run 
3,CPURSUITNEURALUCB,5137.07,93.1,T,S1.5,3-run 
1,CPURSUITNEURALUCB,2593.68,93.9,T,S1.5,3-run 
2,CPURSUITNEURALUCB,3885.46,93.8,T,S1.5,3-run 
3,CPURSUITNEURALUCB,4570.94,82.8,T,S1.5,3-run 
1,CPURSUITNEURALUCB,2454.77,89.5,T,S1.5,3-run 
2,CPURSUITNEURALUCB,3825.35,92.5,T,S1.5,3-run 
3,CPURSUITNEURALUCB,5274.09,95.3,T,S1.5,3-run 
1,CPURSUITNEURALUCB,2785.12,99.9,T,S1.5,3-run 
2,CPURSUITNEURALUCB,4173.02,99.8,T,S1.5,3-run 
3,CPURSUITNEURALUCB,4820.13,86.5,T,S1.5,3-run 
1,CPURSUITNEURALUCB,2499.72,90.5,Tb,S1,3-run 
2,CPURSUITNEURALUCB,3845.48,92.8,Tb,S1,3-run 
3,CPURSUITNEURALUCB,4276.77,77.5,Tb,S1,3-run 
1,CPURSUITNEURALUCB,2528.58,91.8,Tb,S1,3-run 
2,CPURSUITNEURALUCB,3653.46,88.3,Tb,S1,3-run 
3,CPURSUITNEURALUCB,4484.12,81.4,Tb,S1,3-run 
1,CPURSUITNEURALUCB,2284.56,82.6,Tb,S1,3-run 
2,CPURSUITNEURALUCB,3734.47,90.3,Tb,S1,3-run 
3,CPURSUITNEURALUCB,4424.26,80.2,Tb,S1,3-run 
1,CPURSUITNEURALUCB,2719.59,97.9,Tb,S1,3-run 
2,CPURSUITNEURALUCB,3779.28,91.3,Tb,S1,3-run 
3,CPURSUITNEURALUCB,4292.64,77.7,Tb,S1,3-run 
1,CPURSUITNEURALUCB,2781.95,99.8,Tb,S1,3-run 
2,CPURSUITNEURALUCB,4041.3,96.7,Tb,S1,3-run 
3,CPURSUITNEURALUCB,4656.48,83.5,Tb,S1,3-run 
1,CPURSUITNEURALUCB,2499.72,90.5,Tb,S1,5-run 
2,CPURSUITNEURALUCB,3845.48,92.8,Tb,S1,5-run 
3,CPURSUITNEURALUCB,4276.77,77.5,Tb,S1,5-run 
4,CPURSUITNEURALUCB,6404.04,92.8,Tb,S1,5-run 
5,CPURSUITNEURALUCB,7693.28,92.8,Tb,S1,5-run 
1,CPURSUITNEURALUCB,2528.58,91.8,Tb,S1,5-run 
2,CPURSUITNEURALUCB,3653.46,88.3,Tb,S1,5-run 
3,CPURSUITNEURALUCB,4484.12,81.4,Tb,S1,5-run 
4,CPURSUITNEURALUCB,6307.92,91.5,Tb,S1,5-run 
5,CPURSUITNEURALUCB,7548.56,91.2,Tb,S1,5-run 
1,CPURSUITNEURALUCB,2284.56,82.6,Tb,S1,5-run 
2,CPURSUITNEURALUCB,3734.47,90.3,Tb,S1,5-run 
3,CPURSUITNEURALUCB,4424.26,80.2,Tb,S1,5-run 
4,CPURSUITNEURALUCB,6336.82,91.8,Tb,S1,5-run 
5,CPURSUITNEURALUCB,7752.29,93.5,Tb,S1,5-run 
1,CPURSUITNEURALUCB,2719.59,97.9,Tb,S1,5-run 
2,CPURSUITNEURALUCB,3779.28,91.3,Tb,S1,5-run 
3,CPURSUITNEURALUCB,4292.64,77.7,Tb,S1,5-run 
4,CPURSUITNEURALUCB,6784.38,97.5,Tb,S1,5-run 
5,CPURSUITNEURALUCB,7099.81,87.2,Tb,S1,5-run 
1,CPURSUITNEURALUCB,2781.95,99.8,Tb,S1,5-run 
2,CPURSUITNEURALUCB,4041.3,96.7,Tb,S1,5-run 
3,CPURSUITNEURALUCB,4656.48,83.5,Tb,S1,5-run 
4,CPURSUITNEURALUCB,6811.39,97.8,Tb,S1,5-run 
5,CPURSUITNEURALUCB,8222.28,98.3,Tb,S1,5-run 
1,CPURSUITNEURALUCB,2511.63,90.9,Tb,S1.5,3-run 
2,CPURSUITNEURALUCB,3809.81,91.9,Tb,S1.5,3-run 
3,CPURSUITNEURALUCB,5061.95,91.7,Tb,S1.5,3-run 
1,CPURSUITNEURALUCB,2527.55,91.7,Tb,S1.5,3-run 
2,CPURSUITNEURALUCB,3824.45,92.5,Tb,S1.5,3-run 
3,CPURSUITNEURALUCB,5137.07,93.1,Tb,S1.5,3-run 
1,CPURSUITNEURALUCB,2593.68,93.9,Tb,S1.5,3-run 
2,CPURSUITNEURALUCB,3885.46,93.8,Tb,S1.5,3-run 
3,CPURSUITNEURALUCB,4570.94,82.8,Tb,S1.5,3-run 
1,CPURSUITNEURALUCB,2454.77,89.5,Tb,S1.5,3-run 
2,CPURSUITNEURALUCB,3825.35,92.5,Tb,S1.5,3-run 
3,CPURSUITNEURALUCB,5274.09,95.3,Tb,S1.5,3-run 
1,CPURSUITNEURALUCB,2785.12,99.9,Tb,S1.5,3-run 
2,CPURSUITNEURALUCB,4173.02,99.8,Tb,S1.5,3-run 
3,CPURSUITNEURALUCB,4820.13,86.5,Tb,S1.5,3-run 
1,CPURSUITNEURALUCB,2494.72,90.3,Tb,S1.5,5-run 
2,CPURSUITNEURALUCB,3849.1,92.9,Tb,S1.5,5-run 
3,CPURSUITNEURALUCB,4430.07,80.2,Tb,S1.5,5-run 
4,CPURSUITNEURALUCB,6361.99,92.2,Tb,S1.5,5-run 
5,CPURSUITNEURALUCB,7668.23,92.5,Tb,S1.5,5-run 
1,CPURSUITNEURALUCB,2469.69,89.6,Tb,S1.5,5-run 
2,CPURSUITNEURALUCB,3684.85,89.1,Tb,S1.5,5-run 
3,CPURSUITNEURALUCB,4942.1,89.7,Tb,S1.5,5-run 
4,CPURSUITNEURALUCB,6212.87,90.2,Tb,S1.5,5-run 
5,CPURSUITNEURALUCB,7498.24,90.7,Tb,S1.5,5-run 
1,CPURSUITNEURALUCB,2511.05,91.0,Tb,S1.5,5-run 
2,CPURSUITNEURALUCB,3858.2,92.9,Tb,S1.5,5-run 
3,CPURSUITNEURALUCB,4427.89,80.1,Tb,S1.5,5-run 
4,CPURSUITNEURALUCB,6400.14,92.7,Tb,S1.5,5-run 
5,CPURSUITNEURALUCB,7710.2,93.0,Tb,S1.5,5-run 
1,CPURSUITNEURALUCB,2663.87,95.9,Tb,S1.5,5-run 
2,CPURSUITNEURALUCB,3628.06,88.4,Tb,S1.5,5-run 
3,CPURSUITNEURALUCB,5408.33,97.0,Tb,S1.5,5-run 
4,CPURSUITNEURALUCB,6216.48,90.7,Tb,S1.5,5-run 
5,CPURSUITNEURALUCB,8094.58,97.1,Tb,S1.5,5-run 
1,CPURSUITNEURALUCB,2682.59,96.3,Tb,S1.5,5-run 
2,CPURSUITNEURALUCB,4077.45,97.5,Tb,S1.5,5-run 
3,CPURSUITNEURALUCB,5433.31,97.5,Tb,S1.5,5-run 
4,CPURSUITNEURALUCB,6845.69,98.2,Tb,S1.5,5-run 
5,CPURSUITNEURALUCB,8193.91,98.0,Tb,S1.5,5-run 
1,CPURSUITNEURALUCB,2428.26,87.9,Tb,S2,3-run 
2,CPURSUITNEURALUCB,3690.03,89.1,Tb,S2,3-run 
3,CPURSUITNEURALUCB,5082.71,92.0,Tb,S2,3-run 
1,CPURSUITNEURALUCB,2439.38,88.5,Tb,S2,3-run 
2,CPURSUITNEURALUCB,3846.58,93.0,Tb,S2,3-run 
3,CPURSUITNEURALUCB,5121.59,92.9,Tb,S2,3-run 
1,CPURSUITNEURALUCB,2501.05,90.6,Tb,S2,3-run 
2,CPURSUITNEURALUCB,3903.83,94.0,Tb,S2,3-run 
3,CPURSUITNEURALUCB,5148.31,93.3,Tb,S2,3-run 
1,CPURSUITNEURALUCB,2279.51,84.5,Tb,S2,3-run 
2,CPURSUITNEURALUCB,3406.36,81.5,Tb,S2,3-run 
3,CPURSUITNEURALUCB,5233.4,94.4,Tb,S2,3-run 
1,CPURSUITNEURALUCB,2782.99,99.9,Tb,S2,3-run 
2,CPURSUITNEURALUCB,4172.82,99.8,Tb,S2,3-run 
3,CPURSUITNEURALUCB,5571.93,100.0,Tb,S2,3-run 
1,CPURSUITNEURALUCB,2514.98,91.0,Tb,S2,5-run 
2,CPURSUITNEURALUCB,3787.23,91.4,Tb,S2,5-run 
3,CPURSUITNEURALUCB,4804.04,87.0,Tb,S2,5-run 
4,CPURSUITNEURALUCB,6399.8,92.7,Tb,S2,5-run 
5,CPURSUITNEURALUCB,7666.92,92.6,Tb,S2,5-run 
1,CPURSUITNEURALUCB,2439.38,88.5,Tb,S2,5-run 
2,CPURSUITNEURALUCB,3846.58,93.0,Tb,S2,5-run 
3,CPURSUITNEURALUCB,5121.59,92.9,Tb,S2,5-run 
4,CPURSUITNEURALUCB,6293.34,91.3,Tb,S2,5-run 
5,CPURSUITNEURALUCB,7526.98,91.0,Tb,S2,5-run 
1,CPURSUITNEURALUCB,2501.05,90.6,Tb,S2,5-run 
2,CPURSUITNEURALUCB,3903.83,94.0,Tb,S2,5-run 
3,CPURSUITNEURALUCB,5148.31,93.3,Tb,S2,5-run 
4,CPURSUITNEURALUCB,6266.22,90.9,Tb,S2,5-run 
5,CPURSUITNEURALUCB,7636.93,92.2,Tb,S2,5-run 
1,CPURSUITNEURALUCB,2279.51,84.5,Tb,S2,5-run 
2,CPURSUITNEURALUCB,3406.36,81.5,Tb,S2,5-run 
3,CPURSUITNEURALUCB,5233.4,94.4,Tb,S2,5-run 
4,CPURSUITNEURALUCB,6869.81,98.6,Tb,S2,5-run 
5,CPURSUITNEURALUCB,8153.41,97.7,Tb,S2,5-run 
1,CPURSUITNEURALUCB,2782.99,99.9,Tb,S2,5-run 
2,CPURSUITNEURALUCB,4172.82,99.8,Tb,S2,5-run 
3,CPURSUITNEURALUCB,5571.93,100.0,Tb,S2,5-run 
4,CPURSUITNEURALUCB,6852.57,98.3,Tb,S2,5-run 
5,CPURSUITNEURALUCB,8201.48,98.1,Tb,S2,5-run 
1,ICPURSUITNEURALUCB,2229.43,80.8,T,S1,3-run 
2,ICPURSUITNEURALUCB,3387.79,81.7,T,S1,3-run 
3,ICPURSUITNEURALUCB,5210.47,94.3,T,S1,3-run 
1,ICPURSUITNEURALUCB,2552.01,92.6,T,S1,3-run 
2,ICPURSUITNEURALUCB,3453.0,83.5,T,S1,3-run 
3,ICPURSUITNEURALUCB,5119.37,92.8,T,S1,3-run 
1,ICPURSUITNEURALUCB,2585.31,93.7,T,S1,3-run 
2,ICPURSUITNEURALUCB,2728.33,65.8,T,S1,3-run 
3,ICPURSUITNEURALUCB,5064.2,91.8,T,S1,3-run 
1,ICPURSUITNEURALUCB,2402.92,86.8,T,S1,3-run 
2,ICPURSUITNEURALUCB,3497.87,84.6,T,S1,3-run 
3,ICPURSUITNEURALUCB,5343.27,96.4,T,S1,3-run 
1,ICPURSUITNEURALUCB,2784.86,99.9,T,S1,3-run 
2,ICPURSUITNEURALUCB,4171.85,99.8,T,S1,3-run 
3,ICPURSUITNEURALUCB,5572.95,100.0,T,S1,3-run 
1,ICPURSUITNEURALUCB,2504.11,90.7,T,S1,5-run 
2,ICPURSUITNEURALUCB,3306.18,79.8,T,S1,5-run 
3,ICPURSUITNEURALUCB,4445.19,80.5,T,S1,5-run 
4,ICPURSUITNEURALUCB,6364.33,92.2,T,S1,5-run 
5,ICPURSUITNEURALUCB,7664.1,92.5,T,S1,5-run 
1,ICPURSUITNEURALUCB,2443.62,88.7,T,S1,5-run 
2,ICPURSUITNEURALUCB,3450.44,83.5,T,S1,5-run 
3,ICPURSUITNEURALUCB,4519.64,82.0,T,S1,5-run 
4,ICPURSUITNEURALUCB,6191.79,89.9,T,S1,5-run 
5,ICPURSUITNEURALUCB,7446.39,90.1,T,S1,5-run 
1,ICPURSUITNEURALUCB,2543.95,92.1,T,S1,5-run 
2,ICPURSUITNEURALUCB,3900.48,93.9,T,S1,5-run 
3,ICPURSUITNEURALUCB,4408.17,79.8,T,S1,5-run 
4,ICPURSUITNEURALUCB,6472.79,93.7,T,S1,5-run 
5,ICPURSUITNEURALUCB,7740.17,93.4,T,S1,5-run 
1,ICPURSUITNEURALUCB,2464.57,89.8,T,S1,5-run 
2,ICPURSUITNEURALUCB,3541.47,86.8,T,S1,5-run 
3,ICPURSUITNEURALUCB,3856.54,69.2,T,S1,5-run 
4,ICPURSUITNEURALUCB,6534.48,94.7,T,S1,5-run 
5,ICPURSUITNEURALUCB,8131.55,97.3,T,S1,5-run 
1,ICPURSUITNEURALUCB,2643.53,94.9,T,S1,5-run 
2,ICPURSUITNEURALUCB,3517.83,84.1,T,S1,5-run 
3,ICPURSUITNEURALUCB,4697.94,84.3,T,S1,5-run 
4,ICPURSUITNEURALUCB,6775.58,97.2,T,S1,5-run 
5,ICPURSUITNEURALUCB,8097.27,96.8,T,S1,5-run 
1,ICPURSUITNEURALUCB,2520.93,91.2,T,S1.5,5-run 
2,ICPURSUITNEURALUCB,3804.49,91.8,T,S1.5,5-run 
3,ICPURSUITNEURALUCB,5087.85,92.1,T,S1.5,5-run 
4,ICPURSUITNEURALUCB,6406.11,92.8,T,S1.5,5-run 
5,ICPURSUITNEURALUCB,7714.0,93.0,T,S1.5,5-run 
1,ICPURSUITNEURALUCB,2541.99,92.2,T,S1.5,5-run 
2,ICPURSUITNEURALUCB,3827.68,92.6,T,S1.5,5-run 
3,ICPURSUITNEURALUCB,5125.64,92.9,T,S1.5,5-run 
4,ICPURSUITNEURALUCB,6224.36,90.3,T,S1.5,5-run 
5,ICPURSUITNEURALUCB,7432.07,89.9,T,S1.5,5-run 
1,ICPURSUITNEURALUCB,2594.57,93.9,T,S1.5,5-run 
2,ICPURSUITNEURALUCB,3885.4,93.8,T,S1.5,5-run 
3,ICPURSUITNEURALUCB,5172.26,93.7,T,S1.5,5-run 
4,ICPURSUITNEURALUCB,6536.39,94.5,T,S1.5,5-run 
5,ICPURSUITNEURALUCB,7812.26,94.2,T,S1.5,5-run 
1,ICPURSUITNEURALUCB,2315.33,84.4,T,S1.5,5-run 
2,ICPURSUITNEURALUCB,3827.43,92.6,T,S1.5,5-run 
3,ICPURSUITNEURALUCB,5276.06,95.3,T,S1.5,5-run 
4,ICPURSUITNEURALUCB,6146.53,89.7,T,S1.5,5-run 
5,ICPURSUITNEURALUCB,7175.91,87.9,T,S1.5,5-run 
1,ICPURSUITNEURALUCB,2780.1,99.8,T,S1.5,5-run 
2,ICPURSUITNEURALUCB,4173.86,99.8,T,S1.5,5-run 
3,ICPURSUITNEURALUCB,5570.46,99.9,T,S1.5,5-run 
4,ICPURSUITNEURALUCB,6806.81,97.7,T,S1.5,5-run 
5,ICPURSUITNEURALUCB,8164.74,97.7,T,S1.5,5-run 
1,ICPURSUITNEURALUCB,2538.56,91.9,T,S2,5-run 
2,ICPURSUITNEURALUCB,3784.16,91.3,T,S2,5-run 
3,ICPURSUITNEURALUCB,5061.2,91.7,T,S2,5-run 
4,ICPURSUITNEURALUCB,6353.71,92.0,T,S2,5-run 
5,ICPURSUITNEURALUCB,7611.87,91.9,T,S2,5-run 
1,ICPURSUITNEURALUCB,2444.9,88.7,T,S2,5-run 
2,ICPURSUITNEURALUCB,3721.03,90.0,T,S2,5-run 
3,ICPURSUITNEURALUCB,4976.81,90.3,T,S2,5-run 
4,ICPURSUITNEURALUCB,6172.5,89.6,T,S2,5-run 
5,ICPURSUITNEURALUCB,7465.72,90.3,T,S2,5-run 
1,ICPURSUITNEURALUCB,2532.68,91.8,T,S2,5-run 
2,ICPURSUITNEURALUCB,3842.16,92.7,T,S2,5-run 
3,ICPURSUITNEURALUCB,5209.6,94.3,T,S2,5-run 
4,ICPURSUITNEURALUCB,6422.42,93.1,T,S2,5-run 
5,ICPURSUITNEURALUCB,7770.46,93.7,T,S2,5-run 
1,ICPURSUITNEURALUCB,2285.72,84.7,T,S2,5-run 
2,ICPURSUITNEURALUCB,3460.52,82.8,T,S2,5-run 
3,ICPURSUITNEURALUCB,5396.48,97.0,T,S2,5-run 
4,ICPURSUITNEURALUCB,6787.41,97.4,T,S2,5-run 
5,ICPURSUITNEURALUCB,7694.69,92.9,T,S2,5-run 
1,ICPURSUITNEURALUCB,2675.7,96.0,T,S2,5-run 
2,ICPURSUITNEURALUCB,4038.53,96.6,T,S2,5-run 
3,ICPURSUITNEURALUCB,5427.8,97.4,T,S2,5-run 
4,ICPURSUITNEURALUCB,6782.04,97.3,T,S2,5-run 
