paper,config_key,source_file,total_time,qubit_caps,env_type,runs,allocator,scenario,scenario_cat,base_frames,frame_step,cap_type,scale,capacity,experiment,winner,frames,model,reward,regret,avg_reward,model_avg_eff,eff_pct,gap_pct,retries,failures,misses_thrs,scenario_winner,scen_winner_eff,scen_winner_reward,scen_winner_gap
paper8,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper8.pkl,0.030268907546997,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,5,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1.0,12000.0,1,iCPursuitNeuralUCB,4000,ORACLE,3222.522816766744,0.0,0.805630704191686,,,,0,0,0,iCPursuitNeuralUCB,88.50136224069755,5699.875814622066,11.498637759302454
paper8,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper8.pkl,0.030268907546997,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,5,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1.0,12000.0,1,iCPursuitNeuralUCB,4000,GNEURALUCB,2732.5256116793453,466.3620188744913,0.6831314029198363,86.9599004666294,84.79460866691309,15.205391333086908,0,0,0,iCPursuitNeuralUCB,88.50136224069755,5699.875814622066,11.498637759302454
paper8,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper8.pkl,0.030268907546997,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,5,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1.0,12000.0,1,iCPursuitNeuralUCB,4000,EXPNEURALUCB,2746.225298254285,456.26692996915534,0.6865563245635713,84.56498576986125,85.21973169486064,14.78026830513936,0,0,0,iCPursuitNeuralUCB,88.50136224069755,5699.875814622066,11.498637759302454
paper8,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper8.pkl,0.030268907546997,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,5,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1.0,12000.0,1,iCPursuitNeuralUCB,4000,CPURSUITNEURALUCB,2723.899612323251,473.3466310895183,0.6809749030808128,87.95669887111626,84.52693020979825,15.473069790201748,0,0,0,iCPursuitNeuralUCB,88.50136224069755,5699.875814622066,11.498637759302454
paper8,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper8.pkl,0.030268907546997,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,5,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1.0,12000.0,1,iCPursuitNeuralUCB,4000,ICPURSUITNEURALUCB,2823.955569017814,294.69475135553785,0.7059888922544535,88.50136224069755,87.63182542338599,12.36817457661401,0,0,0,iCPursuitNeuralUCB,88.50136224069755,5699.875814622066,11.498637759302454
paper8,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper8.pkl,0.030268907546997,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,5,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1.0,12000.0,2,CPursuitNeuralUCB,6000,ORACLE,4834.6332744534975,0.0,0.8057722124089163,,,,0,0,0,iCPursuitNeuralUCB,88.50136224069755,5699.875814622066,11.498637759302454
paper8,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper8.pkl,0.030268907546997,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,5,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1.0,12000.0,2,CPursuitNeuralUCB,6000,GNEURALUCB,4108.1358156406,703.2754120132919,0.6846893026067666,86.9599004666294,84.97305963925422,15.026940360745783,0,0,0,iCPursuitNeuralUCB,88.50136224069755,5699.875814622066,11.498637759302454
paper8,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper8.pkl,0.030268907546997,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,5,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1.0,12000.0,2,CPursuitNeuralUCB,6000,EXPNEURALUCB,4199.375977817368,594.2613616148435,0.6998959963028947,84.56498576986125,86.86027955847513,13.139720441524872,0,0,0,iCPursuitNeuralUCB,88.50136224069755,5699.875814622066,11.498637759302454
paper8,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper8.pkl,0.030268907546997,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,5,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1.0,12000.0,2,CPursuitNeuralUCB,6000,CPURSUITNEURALUCB,4324.167101038123,313.9203902879568,0.7206945168396872,87.95669887111626,89.44147064653882,10.558529353461182,0,0,0,iCPursuitNeuralUCB,88.50136224069755,5699.875814622066,11.498637759302454
paper8,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper8.pkl,0.030268907546997,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,5,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1.0,12000.0,2,CPursuitNeuralUCB,6000,ICPURSUITNEURALUCB,4192.299066841851,524.8710570634631,0.6987165111403084,88.50136224069755,86.71390007995475,13.286099920045244,0,0,0,iCPursuitNeuralUCB,88.50136224069755,5699.875814622066,11.498637759302454
