paper,config_key,source_file,total_time,qubit_caps,env_type,runs,allocator,scenario,scenario_cat,base_frames,frame_step,cap_type,scale,capacity,experiment,winner,frames,model,reward,regret,avg_reward,model_avg_eff,eff_pct,gap_pct,retries,failures,misses_thrs,scenario_winner,scen_winner_eff,scen_winner_reward,scen_winner_gap
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_1_S1T_paper2.pkl,179.59051609039307,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1.0,4000.0,1,CPursuitNeuralUCB,4000,ORACLE,3275.486060452032,0.0,0.818871515113008,,,,0,0,0,CPursuitNeuralUCB,92.4661239376,3028.715000216388,7.533876062399997
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_1_S1T_paper2.pkl,179.59051609039307,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1.0,4000.0,1,CPursuitNeuralUCB,4000,GNEURALUCB,3011.41730915134,223.9690580535935,0.752854327287835,91.93802854211354,91.93802854211354,8.061971457886457,0,0,0,CPursuitNeuralUCB,92.4661239376,3028.715000216388,7.533876062399997
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_1_S1T_paper2.pkl,179.59051609039307,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1.0,4000.0,1,CPursuitNeuralUCB,4000,EXPNEURALUCB,2983.7443776573546,225.1332664365429,0.7459360944143386,91.0931789233621,91.0931789233621,8.906821076637897,0,0,0,CPursuitNeuralUCB,92.4661239376,3028.715000216388,7.533876062399997
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_1_S1T_paper2.pkl,179.59051609039307,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1.0,4000.0,1,CPursuitNeuralUCB,4000,CPURSUITNEURALUCB,3028.715000216388,212.58530216736204,0.757178750054097,92.4661239376,92.4661239376,7.533876062399997,0,0,0,CPursuitNeuralUCB,92.4661239376,3028.715000216388,7.533876062399997
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_1_S1T_paper2.pkl,179.59051609039307,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1.0,4000.0,1,CPursuitNeuralUCB,4000,ICPURSUITNEURALUCB,2993.565327568254,233.02199032824444,0.7483913318920635,91.39301075685628,91.39301075685628,8.606989243143715,0,0,0,CPursuitNeuralUCB,92.4661239376,3028.715000216388,7.533876062399997
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_1_S1T_paper2.pkl,179.59051609039307,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,MARKOV,Structured (Markov Chain Based),4000,2000,T,1.0,4000.0,1,iCPursuitNeuralUCB,4000,ORACLE,3238.7377558297303,0.0,0.8096844389574326,,,,0,0,0,iCPursuitNeuralUCB,58.30039467710474,1888.1968942051376,41.69960532289526
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_1_S1T_paper2.pkl,179.59051609039307,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,MARKOV,Structured (Markov Chain Based),4000,2000,T,1.0,4000.0,1,iCPursuitNeuralUCB,4000,GNEURALUCB,1875.793640475473,558.9291068254264,0.4689484101188682,57.91742900761394,57.91742900761394,42.08257099238606,0,0,3,iCPursuitNeuralUCB,58.30039467710474,1888.1968942051376,41.69960532289526
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_1_S1T_paper2.pkl,179.59051609039307,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,MARKOV,Structured (Markov Chain Based),4000,2000,T,1.0,4000.0,1,iCPursuitNeuralUCB,4000,EXPNEURALUCB,1606.9481031516466,654.1244914327178,0.4017370257879116,49.61649334711151,49.61649334711151,50.38350665288849,0,0,3,iCPursuitNeuralUCB,58.30039467710474,1888.1968942051376,41.69960532289526
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_1_S1T_paper2.pkl,179.59051609039307,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,MARKOV,Structured (Markov Chain Based),4000,2000,T,1.0,4000.0,1,iCPursuitNeuralUCB,4000,CPURSUITNEURALUCB,1715.0675036309697,729.9726474140474,0.4287668759077424,52.95481242789253,52.95481242789253,47.04518757210747,0,0,3,iCPursuitNeuralUCB,58.30039467710474,1888.1968942051376,41.69960532289526
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_1_S1T_paper2.pkl,179.59051609039307,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,MARKOV,Structured (Markov Chain Based),4000,2000,T,1.0,4000.0,1,iCPursuitNeuralUCB,4000,ICPURSUITNEURALUCB,1888.1968942051376,571.0168590700447,0.4720492235512844,58.30039467710474,58.30039467710474,41.69960532289526,0,0,3,iCPursuitNeuralUCB,58.30039467710474,1888.1968942051376,41.69960532289526
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_1_S1T_paper2.pkl,179.59051609039307,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,ADAPTIVE,Adaptive (Reactive Strategic),4000,2000,T,1.0,4000.0,1,CPursuitNeuralUCB,4000,ORACLE,3269.1264345852505,0.0,0.8172816086463126,,,,0,0,0,CPursuitNeuralUCB,75.2337385991041,2459.4860362700792,24.7662614008959
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_1_S1T_paper2.pkl,179.59051609039307,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,ADAPTIVE,Adaptive (Reactive Strategic),4000,2000,T,1.0,4000.0,1,CPursuitNeuralUCB,4000,GNEURALUCB,2399.664059533767,584.4338680486447,0.5999160148834418,73.40383149904721,73.40383149904721,26.596168500952786,0,0,0,CPursuitNeuralUCB,75.2337385991041,2459.4860362700792,24.7662614008959
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_1_S1T_paper2.pkl,179.59051609039307,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,ADAPTIVE,Adaptive (Reactive Strategic),4000,2000,T,1.0,4000.0,1,CPursuitNeuralUCB,4000,EXPNEURALUCB,2418.0398443224635,651.6781817227397,0.6045099610806158,73.96593226683314,73.96593226683314,26.034067733166864,0,0,0,CPursuitNeuralUCB,75.2337385991041,2459.4860362700792,24.7662614008959
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_1_S1T_paper2.pkl,179.59051609039307,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,ADAPTIVE,Adaptive (Reactive Strategic),4000,2000,T,1.0,4000.0,1,CPursuitNeuralUCB,4000,CPURSUITNEURALUCB,2459.4860362700792,552.4470659182192,0.6148715090675199,75.2337385991041,75.2337385991041,24.7662614008959,0,0,0,CPursuitNeuralUCB,75.2337385991041,2459.4860362700792,24.7662614008959
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_1_S1T_paper2.pkl,179.59051609039307,"(4, 5, 4, 5, 4, 5, 4, 4)",stochastic,1,Default,ADAPTIVE,Adaptive (Reactive Strategic),4000,2000,T,1.0,4000.0,1,CPursuitNeuralUCB,4000,ICPURSUITNEURALUCB,2432.473918863613,527.8426127353617,0.6081184797159033,74.40745922609806,74.40745922609806,25.592540773901945,0,0,0,CPursuitNeuralUCB,75.2337385991041,2459.4860362700792,24.7662614008959
