paper,config_key,source_file,total_time,qubit_caps,env_type,runs,allocator,scenario,scenario_cat,base_frames,frame_step,cap_type,scale,capacity,experiment,winner,frames,model,reward,regret,avg_reward,model_avg_eff,eff_pct,gap_pct,retries,failures,misses_thrs,scenario_winner,scen_winner_eff,scen_winner_reward,scen_winner_gap
paper7,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_3_S1T_paper7.pkl,0.0299983024597167,"(9, 9, 9, 8)",stochastic,3,Default,NONE,Baseline (No Attacks),4000,2000,T,1.0,8000.0,1,iCPursuitNeuralUCB,4000,ORACLE,36000.0,0.0,9.0,,,,0,0,0,iCPursuitNeuralUCB,100.0,54000.0,0.0
paper7,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_3_S1T_paper7.pkl,0.0299983024597167,"(9, 9, 9, 8)",stochastic,3,Default,NONE,Baseline (No Attacks),4000,2000,T,1.0,8000.0,1,iCPursuitNeuralUCB,4000,GNEURALUCB,32000.0,4000.0,8.0,88.88888888888887,88.88888888888889,11.111111111111114,0,0,0,iCPursuitNeuralUCB,100.0,54000.0,0.0
paper7,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_3_S1T_paper7.pkl,0.0299983024597167,"(9, 9, 9, 8)",stochastic,3,Default,NONE,Baseline (No Attacks),4000,2000,T,1.0,8000.0,1,iCPursuitNeuralUCB,4000,EXPNEURALUCB,33225.0,2775.0,8.30625,90.975,92.29166666666669,7.708333333333329,0,0,0,iCPursuitNeuralUCB,100.0,54000.0,0.0
paper7,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_3_S1T_paper7.pkl,0.0299983024597167,"(9, 9, 9, 8)",stochastic,3,Default,NONE,Baseline (No Attacks),4000,2000,T,1.0,8000.0,1,iCPursuitNeuralUCB,4000,CPURSUITNEURALUCB,32000.0,4000.0,8.0,88.88888888888887,88.88888888888889,11.111111111111114,0,0,0,iCPursuitNeuralUCB,100.0,54000.0,0.0
paper7,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_3_S1T_paper7.pkl,0.0299983024597167,"(9, 9, 9, 8)",stochastic,3,Default,NONE,Baseline (No Attacks),4000,2000,T,1.0,8000.0,1,iCPursuitNeuralUCB,4000,ICPURSUITNEURALUCB,36000.0,0.0,9.0,100.0,100.0,0.0,0,0,0,iCPursuitNeuralUCB,100.0,54000.0,0.0
paper7,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_3_S1T_paper7.pkl,0.0299983024597167,"(9, 9, 9, 8)",stochastic,3,Default,NONE,Baseline (No Attacks),4000,2000,T,1.0,8000.0,2,iCPursuitNeuralUCB,6000,ORACLE,54000.0,0.0,9.0,,,,0,0,0,iCPursuitNeuralUCB,100.0,54000.0,0.0
paper7,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_3_S1T_paper7.pkl,0.0299983024597167,"(9, 9, 9, 8)",stochastic,3,Default,NONE,Baseline (No Attacks),4000,2000,T,1.0,8000.0,2,iCPursuitNeuralUCB,6000,GNEURALUCB,48000.0,6000.0,8.0,88.88888888888887,88.88888888888889,11.111111111111114,0,0,0,iCPursuitNeuralUCB,100.0,54000.0,0.0
paper7,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_3_S1T_paper7.pkl,0.0299983024597167,"(9, 9, 9, 8)",stochastic,3,Default,NONE,Baseline (No Attacks),4000,2000,T,1.0,8000.0,2,iCPursuitNeuralUCB,6000,EXPNEURALUCB,49764.0,4236.0,8.294,90.975,92.15555555555557,7.844444444444448,0,0,0,iCPursuitNeuralUCB,100.0,54000.0,0.0
paper7,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_3_S1T_paper7.pkl,0.0299983024597167,"(9, 9, 9, 8)",stochastic,3,Default,NONE,Baseline (No Attacks),4000,2000,T,1.0,8000.0,2,iCPursuitNeuralUCB,6000,CPURSUITNEURALUCB,48000.0,6000.0,8.0,88.88888888888887,88.88888888888889,11.111111111111114,0,0,0,iCPursuitNeuralUCB,100.0,54000.0,0.0
paper7,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_3_S1T_paper7.pkl,0.0299983024597167,"(9, 9, 9, 8)",stochastic,3,Default,NONE,Baseline (No Attacks),4000,2000,T,1.0,8000.0,2,iCPursuitNeuralUCB,6000,ICPURSUITNEURALUCB,54000.0,0.0,9.0,100.0,100.0,0.0,0,0,0,iCPursuitNeuralUCB,100.0,54000.0,0.0
