paper,config_key,source_file,total_time,qubit_caps,env_type,runs,allocator,scenario,scenario_cat,base_frames,frame_step,cap_type,scale,capacity,experiment,winner,frames,model,reward,regret,avg_reward,model_avg_eff,eff_pct,gap_pct,retries,failures,misses_thrs,scenario_winner,scen_winner_eff,scen_winner_reward,scen_winner_gap,paper_id,num_nodes,num_edges,num_paths,phys_p_init,phys_f_attenuation,phys_p_BSM,phys_p_GateErrors,phys_p_depol,phys_fusion_prob,phys_entanglement_prob,phys_noise_topology,phys_fid_noise_model,phys_fid_memory_model,phys_fid_gate_error_rate,keyattr_actk_type,keyattr_allocator,keyattr_attack,keyattr_entanglement_success_factor,keyattr_env_type,keyattr_external_contexts,keyattr_external_rewards,keyattr_external_topology,keyattr_fidelity_calculator,keyattr_frame_length,keyattr_noise_model,keyattr_qubit_capacities,keyattr_noise_model_data,keyattr_fidelity_calculator_data
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper2.pkl,0.0693230628967285,"(5, 5, 5, 4, 4, 4, 4, 4)",stochastic,5,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1.0,12000.0,3,CPursuitNeuralUCB,8000,ORACLE,3245.718758858953,0.0,0.4057148448573691,,,,0,0,0,iCPursuitNeuralUCB,84.65720065806408,2764.322221734031,15.34279934193592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper2.pkl,0.0693230628967285,"(5, 5, 5, 4, 4, 4, 4, 4)",stochastic,5,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1.0,12000.0,3,CPursuitNeuralUCB,8000,GNEURALUCB,2743.165509735178,446.1397742091796,0.3428956887168973,84.53044159725658,84.5164265156341,15.483573484365904,0,0,0,iCPursuitNeuralUCB,84.65720065806408,2764.322221734031,15.34279934193592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper2.pkl,0.0693230628967285,"(5, 5, 5, 4, 4, 4, 4, 4)",stochastic,5,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1.0,12000.0,3,CPursuitNeuralUCB,8000,EXPNEURALUCB,2712.9678901179905,485.53331682582194,0.3391209862647488,79.30907872359175,83.58604339064011,16.413956609359886,0,0,0,iCPursuitNeuralUCB,84.65720065806408,2764.322221734031,15.34279934193592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper2.pkl,0.0693230628967285,"(5, 5, 5, 4, 4, 4, 4, 4)",stochastic,5,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1.0,12000.0,3,CPursuitNeuralUCB,8000,CPURSUITNEURALUCB,2784.034117129436,378.30654801846674,0.3480042646411794,84.63774104018285,85.77558081798112,14.224419182018876,0,0,0,iCPursuitNeuralUCB,84.65720065806408,2764.322221734031,15.34279934193592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper2.pkl,0.0693230628967285,"(5, 5, 5, 4, 4, 4, 4, 4)",stochastic,5,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1.0,12000.0,3,CPursuitNeuralUCB,8000,ICPURSUITNEURALUCB,2762.450687487632,415.9606198414676,0.345306335935954,84.65720065806408,85.11059930709412,14.88940069290588,0,0,0,iCPursuitNeuralUCB,84.65720065806408,2764.322221734031,15.34279934193592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper2.pkl,0.0693230628967285,"(5, 5, 5, 4, 4, 4, 4, 4)",stochastic,5,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1.0,12000.0,4,iCPursuitNeuralUCB,10000,ORACLE,4113.485618949749,0.0,0.4113485618949749,,,,0,0,0,iCPursuitNeuralUCB,84.65720065806408,2764.322221734031,15.34279934193592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper2.pkl,0.0693230628967285,"(5, 5, 5, 4, 4, 4, 4, 4)",stochastic,5,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1.0,12000.0,4,iCPursuitNeuralUCB,10000,GNEURALUCB,3440.935635542725,595.4005944706155,0.3440935635542725,84.53044159725658,83.65011949212214,16.349880507877856,0,0,0,iCPursuitNeuralUCB,84.65720065806408,2764.322221734031,15.34279934193592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper2.pkl,0.0693230628967285,"(5, 5, 5, 4, 4, 4, 4, 4)",stochastic,5,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1.0,12000.0,4,iCPursuitNeuralUCB,10000,EXPNEURALUCB,3114.729112387309,959.9217734909304,0.3114729112387309,79.30907872359175,75.7199465591558,24.2800534408442,0,0,0,iCPursuitNeuralUCB,84.65720065806408,2764.322221734031,15.34279934193592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper2.pkl,0.0693230628967285,"(5, 5, 5, 4, 4, 4, 4, 4)",stochastic,5,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1.0,12000.0,4,iCPursuitNeuralUCB,10000,CPURSUITNEURALUCB,3455.5957957679934,567.6816580301511,0.3455595795767993,84.63774104018285,84.00651213775905,15.993487862240954,0,0,0,iCPursuitNeuralUCB,84.65720065806408,2764.322221734031,15.34279934193592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper2.pkl,0.0693230628967285,"(5, 5, 5, 4, 4, 4, 4, 4)",stochastic,5,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1.0,12000.0,4,iCPursuitNeuralUCB,10000,ICPURSUITNEURALUCB,3467.817620878515,551.5478587843218,0.3467817620878515,84.65720065806408,84.30362816641899,15.696371833581011,0,0,0,iCPursuitNeuralUCB,84.65720065806408,2764.322221734031,15.34279934193592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper2.pkl,0.0693230628967285,"(5, 5, 5, 4, 4, 4, 4, 4)",stochastic,5,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1.0,12000.0,5,iCPursuitNeuralUCB,12000,ORACLE,4983.748627383834,0.0,0.4153123856153195,,,,0,0,0,iCPursuitNeuralUCB,84.65720065806408,2764.322221734031,15.34279934193592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper2.pkl,0.0693230628967285,"(5, 5, 5, 4, 4, 4, 4, 4)",stochastic,5,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1.0,12000.0,5,iCPursuitNeuralUCB,12000,GNEURALUCB,4294.010177586501,623.0527423949342,0.3578341814655418,84.53044159725658,86.16024801075484,13.839751989245158,0,0,0,iCPursuitNeuralUCB,84.65720065806408,2764.322221734031,15.34279934193592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper2.pkl,0.0693230628967285,"(5, 5, 5, 4, 4, 4, 4, 4)",stochastic,5,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1.0,12000.0,5,iCPursuitNeuralUCB,12000,EXPNEURALUCB,3999.508929479585,973.464618703152,0.3332924107899654,79.30907872359175,80.25101642373735,19.74898357626265,0,0,0,iCPursuitNeuralUCB,84.65720065806408,2764.322221734031,15.34279934193592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
